SENSORGPS_LATITUDE,SENSORGPS_LONGITUDE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,Light_v,Date_time,context,label
23.7965,90.3626,1.63878,9.59709,1.22815,-0.00387573,0.000915527,-0.00563049,0.0,3/6/2022 23:53,cinema,silenciar
23.7965,90.3625,0.511902,1.89653,9.51927,-0.00219727,-0.0022583,-0.000686646,0.0,3/8/2022 19:07,cinema,silenciar
23.7965,90.3625,0.511902,1.89653,9.51927,-0.00219727,-0.0022583,-0.000686646,0.0,3/8/2022 19:22,cinema,silenciar
23.7966,90.3626,2.06415,9.10947,-2.56427,-0.0775909,-0.0690002,-0.00598145,1.0,3/9/2022 18:20,cinema,silenciar
23.7965,90.3622,2.06415,9.10947,-2.56427,-0.0775909,-0.0690002,-0.00598145,1.0,3/9/2022 18:57,cinema,silenciar
23.7964,90.362,2.06415,9.10947,-2.56427,-0.0775909,-0.0690002,-0.00598145,1.0,3/9/2022 19:31,cinema,silenciar
23.8317,90.4187,-3.51177,5.97249,6.99871,-0.00198525,0.0025961,0.00313059,17.01,3/8/2022 22:16,outro,não alterar
23.8317,90.4187,-0.175872,3.08076,8.74457,-0.122551,0.27595,-0.398349,17.01,3/8/2022 22:31,outro,não alterar
23.8317,90.4187,2.29861,0.246461,9.57129,-7.64e-05,-0.000534491,-0.000229068,12.015,3/8/2022 23:17,outro,não alterar
23.8317,90.4187,0.208176,8.001,5.88275,-0.00526856,0.0,0.00251974,0.0,3/8/2022 23:40,outro,não alterar
23.8317,90.4187,-2.88096,8.93779,3.71336,0.0329094,-0.00771195,0.0722327,0.0,3/8/2022 23:55,outro,não alterar
23.8317,90.4187,-1.27777,6.43639,7.4025,0.0196998,0.0102317,-0.00290152,0.0,3/9/2022 0:10,outro,não alterar
23.8317,90.4187,-5.03958,7.35464,-4.52961,0.00274881,-0.0032833,-0.000534491,0.0,3/9/2022 0:36,outro,não alterar
23.8317,90.4187,0.646062,2.09312,9.63679,-0.00038178,0.000305424,0.000229068,0.0,3/9/2022 4:26,outro,não alterar
23.8317,90.4187,-7.68664,6.15494,-0.338584,-0.0260374,-0.171877,0.043981,0.0,3/9/2022 6:41,outro,não alterar
23.8317,90.4187,-1.64716,3.75464,9.2004,-0.00526856,0.0444391,-0.0164929,0.0,3/9/2022 8:01,outro,não alterar
23.8317,90.4187,-0.0305085,-9.69123,1.10578,-0.000152712,-0.000305424,-7.64e-05,51.975,3/9/2022 8:37,outro,não alterar
23.8317,90.4187,-0.0361914,-9.68196,1.09382,0.000152712,0.000152712,-7.64e-05,54.0,3/9/2022 8:52,outro,não alterar
