id,location,noise_level,noise_category,acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,gyroscope_orientation,movement_state,estado
1,Escola,67.64,moderado,3.150230674696296,2.3877368634494216,14.582191878029434,-0.26909825589048575,3.4665669401696912,0.1107844705942171,virado para cima,movimento rapido,não alterar
2,Centro de Conferencias,0.86,silencio,3.7189009040617957,-4.468460998225526,6.763736760490304,0.48121993616870784,3.185310584630821,1.563634600378857,virado para cima,movimento rapido,não alterar
3,GinÃ¡sio,3.84,silencio,0.062021225974997596,-0.0011402097190737204,9.787473618990761,3.1420819994327935,-2.697876562500165,0.13660654387929783,virado para cima,estatico,silenciar
4,Campo de Futebol,22.2,silencio,0.0010394237926432959,0.01640114442285845,9.756620682872947,-0.36709818990899923,4.68294142025066,-4.844736521886818,virado para baixo,estatico,silenciar
5,Escola,86.46,ruidoso,0.8513895812590762,-0.37800726187960176,8.353602047908929,0.22568641712326873,-1.6620018910818413,-1.3421683530355242,virado para baixo,movimento lento,não alterar
6,Shopping,94.78,ruidoso,1.137763417553952,-0.3606564782602941,8.667899709703784,3.1915891225872084,1.3676177593548169,0.7689268489983433,virado para cima,movimento lento,não alterar
7,Hospital,45.91,moderado,-4.563656659470227,-3.2629334131116594,11.750740992260422,-3.103060485121511,1.6193241146164308,9.401350570015245,virado para cima,movimento rapido,não alterar
8,Praia,77.42,ruidoso,-2.9538559537324947,-0.4439586028323763,7.632668895209265,-4.568559245329013,-0.0764962890132563,9.706325486225682,virado para cima,movimento rapido,não alterar
9,Cinema,42.14,moderado,3.4943179805931557,0.41331023109404263,8.827330534281725,-0.7080278349661907,0.05994619142177529,-6.65672250098128,virado para baixo,movimento rapido,não alterar
10,Museu,22.66,silencio,1.659822817676317,-0.034063345906945486,11.339116620583171,-2.148697302590991,-4.168708375262753,1.2521979723017662,virado para cima,movimento rapido,não alterar
11,GinÃ¡sio,56.52,moderado,-1.004432271503533,0.3276918460839351,8.417530119003073,-0.8725806861801556,-0.8867083238704447,-5.422761293477304,virado para baixo,movimento lento,silenciar
12,Estacao de Comboios,65.59,moderado,-0.1375717127236655,0.1209460435430838,9.797718526589207,2.281435690103201,-4.476791471658499,9.475994919518808,virado para cima,estatico,silenciar
13,Farmacia,35.24,moderado,-0.42719001285563385,0.3022012591515657,9.113026456836685,1.711692536259637,-1.55877704874779,-1.9323509816222557,virado para baixo,movimento lento,silenciar
14,Auditorio,9.69,silencio,-0.7709891354256344,1.5737186081120607,5.222144744698955,-2.6223697614635655,-4.535539802857001,-0.8593333477128411,virado para baixo,movimento rapido,não alterar
15,Centro de Conferencias,83.69,ruidoso,0.1307319380993412,-0.1572077637041229,9.819761169212601,3.3052014443643922,-2.0375964014817156,-8.281008321082858,virado para baixo,estatico,não alterar
16,Campo de Futebol,2.95,silencio,-1.343335296713472,0.8678183813504998,9.375113154306874,-2.118573544402028,-4.91247908174597,-8.400195668005658,virado para baixo,movimento lento,silenciar
17,Parque,95.34,ruidoso,-0.41429331216203824,0.08872636927560462,9.477069511246524,3.167123974125859,0.8412131931047453,4.048206693549173,virado para cima,movimento lento,não alterar
18,Universidade,0.35,silencio,-0.08934859126109274,0.5013673420379079,9.448264172200854,-3.655132243190628,-3.7398269737762386,-7.476004309928384,virado para baixo,movimento lento,silenciar
19,Restaurante,76.14,ruidoso,0.15265320408831057,0.1250911437327475,9.815581840954653,-0.046266637038824006,4.898053899660424,1.8861950483255585,virado para cima,estatico,não alterar
20,Estacao de Comboios,7.99,silencio,1.2973399861338453,0.9518396595049934,8.980252103584927,-4.174039856550284,-4.474438884267865,1.8714212615701777,virado para cima,movimento lento,silenciar
21,Praia,89.28,ruidoso,-0.13145981273041984,-0.17331183231716554,9.766959877694196,-1.5358603132549373,2.011108766821326,6.311377925176427,virado para cima,estatico,não alterar
22,Parque,82.96,ruidoso,-0.017461401428471968,0.008140521589714955,9.978912782309429,0.6122171814146552,-0.3325458027173389,4.14243616005515,virado para cima,estatico,não alterar
23,GinÃ¡sio,19.79,silencio,-3.1679653060184965,-1.1522036079963556,7.8876230836419445,1.2824026221829083,-0.1373259632634487,6.030761534719004,virado para cima,movimento rapido,não alterar
24,Piscina,38.37,moderado,-0.04885581525862981,0.03370454289515404,9.828734670111457,-4.469845849061428,3.911764874941319,2.2543414717252253,virado para cima,estatico,silenciar
25,Museu,95.97,ruidoso,-0.22345141768031684,1.404640765594377,9.835753210609042,-0.44217116631176123,3.5807996939130646,7.583397892041268,virado para cima,movimento lento,não alterar
26,Campo de Futebol,33.15,moderado,0.04670628975788743,-0.17671407930798405,9.98163908417456,-1.2763508075078218,0.32414724645028836,6.8034699178017695,virado para cima,estatico,silenciar
27,Farmacia,98.09,ruidoso,0.08873226104024245,-0.16581351579972306,9.725883345812354,-2.112403007209425,-0.8651653324177605,7.803296929848189,virado para cima,estatico,não alterar
28,Cafe,77.22,ruidoso,1.3686740619200783,1.0781723042944549,9.918807381805896,2.6228157865634842,-4.761899907877641,1.6634463324494737,virado para cima,movimento lento,não alterar
29,Auditorio,87.89,ruidoso,0.3329923910585686,-0.9328690974253376,9.660837972779753,1.513595373727103,1.417009368708016,-4.616989274150251,virado para baixo,movimento lento,não alterar
30,Restaurante,75.65,ruidoso,-0.5350346595682055,1.1121039423776469,8.05036935377254,-0.011067370770103474,-1.7488160338231054,7.295573737732405,virado para cima,movimento lento,não alterar
31,Cinema,36.24,moderado,-0.7298881038853982,-0.8581685755636387,9.497361229207144,1.2512729074681606,0.5195056515021315,-4.5834540008744495,virado para baixo,movimento lento,silenciar
32,Escola,4.81,silencio,0.023746203669288007,0.048857432749285,9.866425287287159,-1.3305125176849981,2.036798243414824,2.3939620503343333,virado para cima,estatico,silenciar
33,Cinema,95.15,ruidoso,0.3015814814555604,0.8856548467498224,9.980302644121757,1.670103824569162,0.033085396658583746,-4.445512883648445,virado para baixo,movimento lento,não alterar
34,Universidade,37.32,moderado,3.5983525545125072,1.6817666078107862,14.840994926116121,-0.20507871366681146,-1.9995531875835977,-8.718654420916975,virado para baixo,movimento rapido,não alterar
35,Universidade,54.6,moderado,0.7480389642475211,0.5855718783874027,8.653534128221375,-2.7544733730032136,2.17099509478738,9.952955889526635,virado para cima,movimento lento,silenciar
